Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Art movement (product.metafields.shopify.art-movement),Art style (product.metafields.shopify.art-style),Artwork authenticity (product.metafields.shopify.artwork-authenticity),Artwork frame material (product.metafields.shopify.artwork-frame-material),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Display mode (product.metafields.shopify.display-mode),Frame style (product.metafields.shopify.frame-style),Material (product.metafields.shopify.material),Numeral style (product.metafields.shopify.numeral-style),Orientation (product.metafields.shopify.orientation),Painting medium (product.metafields.shopify.painting-medium),Rarity (product.metafields.shopify.rarity),Shape (product.metafields.shopify.shape),Stand/Display type (product.metafields.shopify.stand-display-type),Theme (product.metafields.shopify.theme),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
forever-story-wall-art-3-panel-set,,,,,,,,,black,,,3rd frame of 9 by 14,,,,,,0.0,shopify,0,continue,manual,1699,2209,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
trivista-world-wall-art-3-panel-set,TriVista World Wall Art (3 Panel Set),"<p data-start=""188"" data-end=""476"">Elevate your space with the striking geometry of the <em data-start=""241"" data-end=""266"">TriVista World Wall Art</em>. This 3-panel set features a bold triangular layout, each piece showcasing a segment of a world-inspired design. Together, they create a dynamic and modern visual that stands out from traditional wall décor.</p>
<p data-start=""478"" data-end=""648"">Its sharp structure and global theme bring a sense of movement, creativity, and sophistication—perfect for contemporary interiors looking for something truly distinctive.<br></p>
<p data-start=""671"" data-end=""786"">•  3 Panel Triangular Design<br data-start=""698"" data-end=""701"">•  Global-Inspired Artwork<br data-start=""726"" data-end=""729"">•  Lightweight &amp; Easy to Hang<br data-start=""757"" data-end=""760"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"3 panel wall art, aesthetic wall art, contemporary decor, geometric wall art, global wall decor, home decor, modern wall decor, office wall decor, world map wall art",true,Color,black,product.metafields.shopify.color-pattern,size,each frame of 7 by 15,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last12.jpg?v=1777695129,1,,false,,,modernism,other,reproduction,wood,black,wood,,modern,wood,,vertical,,other,,,wallart,,kg,,,active
trivista-world-wall-art-3-panel-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_9.jpg?v=1777695151,2,,,,,,,,,,,,,,,,,,,,,,,,,
unified-flow-wall-art-4-panel-set,Unified Flow Wall Art (4 Panel Set),"<p data-start=""200"" data-end=""437"">Bring a seamless artistic flow to your space with the <em data-start=""254"" data-end=""277"">Unified Flow Wall Art</em>. Designed as a 4-panel composition, each frame features dynamic lines that individually appear abstract yet come together to form one continuous masterpiece.</p>
<p data-start=""439"" data-end=""646"">Its fluid structure creates movement and depth, making it a perfect choice for modern interiors. When displayed together, it delivers a bold yet balanced visual statement that elevates any wall effortlessly<br>•  4 Panel Seamless Design<br data-start=""694"" data-end=""697"">•  Modern Abstract Line Artwork<br data-start=""727"" data-end=""730"">•  Lightweight &amp; Easy to Hang<br data-start=""758"" data-end=""761"">•  Premium Quality Finish<br></p>",zylowalls,Home & Garden > Decor,wallart,"4 panel wall art, abstract wall art, aesthetic wall art, contemporary decor, geometric wall decor, home decor, line art wall art, minimal wall art, modern wall decor",true,Color,black,product.metafields.shopify.color-pattern,size,each frame of 7 by 16,,,,,,0.0,shopify,0,continue,manual,1799,2339,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/2_2b094228-cde9-48f6-adfb-6c0112c1605a.jpg?v=1777694135,1,,false,,,modernism,other,other,wood,black,wood,,modern,wood,,vertical,,other,,,wallart,,kg,,,active
unified-flow-wall-art-4-panel-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_10.jpg?v=1777694163,2,,,,,,,,,,,,,,,,,,,,,,,,,
eternal-connection-wall-art,Eternal Connection Wall Art,"<p data-start=""191"" data-end=""485"">Capture the beauty of connection and silent emotions with the <em data-start=""253"" data-end=""282"">Eternal Connection Wall Art</em>. This artistic piece portrays two souls facing each other, expressed through an abstract pattern inspired by natural forms. The flowing structure creates a sense of depth, unity, and timeless bonding.</p>
<p data-start=""487"" data-end=""659"">Perfect for modern interiors, this wall art adds a meaningful and sophisticated touch to your space, making it more than just décor — a statement of connection and harmony.<br></p>
<p data-start=""682"" data-end=""810"">•  Abstract Dual Portrait Design<br data-start=""713"" data-end=""716"">•  Nature-Inspired Artistic Pattern<br data-start=""750"" data-end=""753"">•  Lightweight &amp; Easy to Hang<br data-start=""781"" data-end=""784"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"abstract face wall art, aesthetic wall art, artistic wall decor, bedroom wall art, couple wall art, home decor, love themed wall art, modern wall art, premium wall art, romantic wall decor",true,Color,black,product.metafields.shopify.color-pattern,size,each frame of 16 by 16,,,,,,0.0,shopify,0,continue,manual,2199,2859,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last14.jpg?v=1777693116,1,,false,,,modernism,other,reproduction,wood,black,wood,,unframed,wood,,vertical,,other,,,wallart,,kg,,,unlisted
eternal-connection-wall-art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_11.jpg?v=1777693134,2,,,,,,,,,,,,,,,,,,,,,,,,,
liberty-legacy-wall-art,Liberty Legacy Wall Art,"<p data-start=""208"" data-end=""529"">Celebrate the spirit of freedom and timeless elegance with the <em data-start=""271"" data-end=""296"">Liberty Legacy Wall Art</em>. Inspired by one of the world’s most iconic landmarks, this design brings a bold and sophisticated presence to your space. Its artistic interpretation adds depth and character, making it a perfect centerpiece for modern interiors.</p>
<p data-start=""531"" data-end=""648"">Whether placed in a living room, workspace, or hallway, it reflects strength, vision, and a refined global aesthetic.<br></p>
<p data-start=""671"" data-end=""796"">•  Iconic Landmark Inspired Design<br data-start=""704"" data-end=""707"">•  Modern &amp; Bold Visual Appeal<br data-start=""736"" data-end=""739"">•  Lightweight &amp; Easy to Hang<br data-start=""767"" data-end=""770"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"aesthetic home decor, aesthetic wall art, home decor, iconic wall decor, liberty wall decor, modern wall art, new york wall art, office wall decor, premium wall art, statue of liberty wall art, travel inspired decor",true,Color,black,product.metafields.shopify.color-pattern,size,10 by 14,,,,,,0.0,shopify,0,continue,manual,1299,1689,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last1.jpg?v=1777692192,1,,false,,,modernism,other,reproduction,,black,wood,,framed,wood,,vertical,,other,,,wallart,,kg,,,active
liberty-legacy-wall-art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_2.jpg?v=1777692210,2,,,,,,,,,,,,,,,,,,,,,,,,,
global-harmony-wall-art-3-panel-set,Global Harmony Wall Art (3 Panel Set),"<p data-start=""406"" data-end=""747"">Bring a sense of global elegance to your space with the <em data-start=""467"" data-end=""492"">Global Harmony Wall Art</em>. Designed in a stunning 3-panel round layout, this piece captures the beauty of the world in a modern and minimal artistic form. Its balanced composition and clean detailing make it a perfect statement piece for living rooms, bedrooms, or office walls.</p>
<p data-start=""749"" data-end=""890"">Crafted to blend effortlessly with contemporary interiors, this wall art adds depth, sophistication, and a unique global touch to your décor.<br></p>
<p data-start=""601"" data-end=""724"">•  3 Panel Round Frame Design<br data-start=""629"" data-end=""632"">•  Modern Global-Inspired Artwork<br data-start=""664"" data-end=""667"">•  Lightweight &amp; Easy to Hang<br data-start=""695"" data-end=""698"">•  Premium Quality Finish</p>",zylowalls,Home & Garden > Decor,wallart,"3 panel wall art, 3 piece wall art, abstract wall art, aesthetic wall art, contemporary decor, global wall decor, home decor, minimal wall art, modern wall art, office wall decor, round wall art, world map wall art",true,Color,black,product.metafields.shopify.color-pattern,size,each frame of 16 by 16,,,,,,0.0,shopify,0,continue,manual,1249,1624,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last10.jpg?v=1777690920,1,,false,,,modernism,other,reproduction,,black,wood,,framed,wood,,other,,common,,,wallart,,kg,,,unlisted
global-harmony-wall-art-3-panel-set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/last_1.jpg?v=1777690944,2,,,,,,,,,,,,,,,,,,,,,,,,,
serenova-flow-wall-clock,Serenova – Flow Wall Clock,"<p class=""isSelectedEnd""><span>Bring a sense of calm and fluid elegance to your space with this beautifully designed wall clock.</span></p>
<p class=""isSelectedEnd""><span>Defined by soft, flowing lines that create a gentle sense of movement, this piece adds a refined and relaxing visual touch. Its minimal structure allows the design to blend effortlessly into modern interiors while still making a subtle statement.</span></p>
<p><span>Perfect for serene and contemporary spaces, this clock combines simplicity with graceful design.<br></span></p>
<ul data-start=""1103"" data-end=""1297"">
<li data-section-id=""1v87yur"" data-start=""1103"" data-end=""1152"">Flow-inspired design with soft, dynamic lines</li>
<li data-section-id=""1uty7k7"" data-start=""1153"" data-end=""1207"">Minimal and elegant aesthetic for modern interiors</li>
<li data-section-id=""1j9o03w"" data-start=""1208"" data-end=""1261"">Subtle statement piece with calming visual effect</li>
<li data-section-id=""1lbgjt"" data-start=""1262"" data-end=""1297"">Lightweight and easy to install</li>
</ul>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"abstract wall clock, contemporary clock, contemporary wall clock, elegant wall clock, living room clock, luxury wall clock, modern wall clock, premium wall clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-29T002335.685.jpg?v=1777401147,1,,false,,,,,,,black,,,,wood,,,,,round,wall-mounted,,,kg,,,active
serenova-flow-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-29T003040.655.jpg?v=1777401167,2,,,,,,,,,,,,,,,,,,,,,,,,,
axiora-structured-wall-clock,Axiora – Structured Wall Clock,"<p class=""isSelectedEnd""><span>Enhance your space with a refined sense of balance through this modern wall clock.</span></p>
<p class=""isSelectedEnd""><span>Designed around a strong central structure, complemented by layered side elements, this piece creates a clean and visually aligned composition. The thoughtful placement of time markers adds clarity while maintaining a sleek and contemporary aesthetic.</span></p>
<p><span>Perfect for modern interiors, this clock combines simplicity with structure, making it a subtle yet impactful decor statement.<br></span></p>
<ul data-start=""1165"" data-end=""1359"">
<li data-section-id=""1o3rz8o"" data-start=""1165"" data-end=""1222"">Structured design with central axis and layered sides</li>
<li data-section-id=""1kfwdy1"" data-start=""1223"" data-end=""1268"">Clean numeric layout for easy readability</li>
<li data-section-id=""bmb3oc"" data-start=""1269"" data-end=""1323"">Modern minimal aesthetic with balanced composition</li>
<li data-section-id=""1lbgjt"" data-start=""1324"" data-end=""1359"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"abstract wall clock, artistic wall clock, black wall clock, designer wall clock, elegant wall clock, futuristic wall clock, living room clock, minimal clock, modern wall clock, premium wall clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T235855.040.jpg?v=1777399216,1,,false,,,,,,,black,,analog,,wood,,,,,rectangular,wall-mounted,,,kg,,,active
axiora-structured-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-29T000011.239.jpg?v=1777399227,2,,,,,,,,,,,,,,,,,,,,,,,,,
orvella-lines-contemporary-clock,Orvella Lines – Contemporary Clock,"<p class=""isSelectedEnd""><span>Introduce a bold expression of modern artistry to your space with this uniquely crafted wall clock.</span></p>
<p class=""isSelectedEnd""><span>Defined by an abstract arrangement of intersecting lines and layered forms, the design creates an unstructured yet visually balanced composition. Its dynamic layout brings movement and depth, transforming a simple timepiece into a striking decor statement.</span></p>
<p><span>Perfect for contemporary interiors, this clock reflects creativity, individuality, and refined design.<br></span></p>
<ul data-start=""1131"" data-end=""1313"">
<li data-section-id=""1j3ctwt"" data-start=""1131"" data-end=""1180"">Abstract grid design with dynamic composition</li>
<li data-section-id=""otjwx1"" data-start=""1181"" data-end=""1227"">Blend of thin and bold structural elements</li>
<li data-section-id=""8i6hnp"" data-start=""1228"" data-end=""1277"">Modern artistic aesthetic for statement decor</li>
<li data-section-id=""1lbgjt"" data-start=""1278"" data-end=""1313"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"abstract wall clock, aesthetic decor, artistic wall clock, clock, contemporary clock, contemporary wall clock, designer clock, designer wall clock, elegant wall clock, futuristic wall clock, home decor clock, living room clock, minimal clock, minimal wall clock, modern wall clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,siize,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T232410.398.jpg?v=1777397056,1,,false,,,,,,,black,,analog,,wood,no-numerals,,,,free-form,wall-mounted,,,kg,,,active
orvella-lines-contemporary-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T232302.116.jpg?v=1777397070,2,,,,,,,,,,,,,,,,,,,,,,,,,
rosevera-time-luxury-wall-clock,Rosévera Time – Luxury Wall Clock,"<p class=""isSelectedEnd""><span>Elevate your space with a refined expression of elegance through this luxury wall clock.</span></p>
<p class=""isSelectedEnd""><span>Inspired by organic forms and delicate detailing, the design features a flowing, sculpted structure that adds depth and sophistication. Its open composition allows the wall to become part of the artwork, creating a soft yet striking visual presence.</span></p>
<p><span>Perfect for premium interiors, this clock is more than a timepiece — it is a statement of style, grace, and modern artistry.<br></span></p>
<ul data-start=""1133"" data-end=""1321"">
<li data-section-id=""kit7ul"" data-start=""1133"" data-end=""1182"">Elegant organic design with premium detailing</li>
<li data-section-id=""nsspw0"" data-start=""1183"" data-end=""1236"">Open cut structure creating a soft layered effect</li>
<li data-section-id=""gtwq19"" data-start=""1237"" data-end=""1285"">Luxury aesthetic ideal for refined interiors</li>
<li data-section-id=""1lbgjt"" data-start=""1286"" data-end=""1321"">Lightweight and easy to install</li>
</ul>
<p><span></span><br></p>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"aesthetic wall decor, arabic calligraphy, contemporary decor, designer wall clock, elegant wall clock, floral wall decor, home decor, luxury wall clock, modern wall clock, premium home decor, statement wall piece, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,2599,3379,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T223132.711.jpg?v=1777393995,1,,false,,,,,,,black,,analog,,wood,,,,,round,wall-mounted,,,kg,,,unlisted
rosevera-time-luxury-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T223315.474.jpg?v=1777394009,2,,,,,,,,,,,,,,,,,,,,,,,,,
lexora-time-typography-wall-clock,Lexora Time – Typography Wall Clock,"<div class=""z-1 md:sticky top-(--sticky-padding-top)"" data-testid=""writing-block-header-sticky-container"">
<div class=""bg-token-bg-primary flex w-full items-center justify-between gap-3 font-sans dark:bg-[#2a2a2a] py-2.5"" data-testid=""writing-block-header-surface"">
<div class=""flex grow gap-3 items-center"">
<div class=""text-token-text-tertiary flex max-w-[75%] min-w-0 grow cursor-default items-center self-center text-sm font-medium""></div>
</div>
<div class=""flex shrink-0 items-center""></div>
</div>
</div>
<div class=""writing-block-editor markdown-new-styling relative flow-root pt-(--writing-block-editor-pt) pe-(--writing-block-editor-pr) pb-(--writing-block-editor-pb) ps-(--writing-block-editor-pl)"">
<div class=""ProseMirror markdown prose dark:prose-invert w-full min-h-6 break-words focus:outline-none"" aria-disabled=""false"" dir=""auto"" translate=""no"">
<p><span>Bring a creative twist to timekeeping with this uniquely designed wall clock.</span></p>
<p><span>Featuring bold radial elements paired with textual time markers, this design transforms the way time is displayed. Its structured yet dynamic composition adds depth and character, making it a standout piece in any modern interior.</span></p>
<p><span>Perfect for contemporary spaces, this clock blends typography with design, offering a distinctive and refined decor statement.<br></span></p>
<ul>
<li data-section-id=""1xsrqql"" data-start=""1069"" data-end=""1116"">Unique typography-based time display design</li>
<li data-section-id=""nntc6e"" data-start=""1117"" data-end=""1164"">Bold radial structure with modern aesthetic</li>
<li data-section-id=""8ntc89"" data-start=""1165"" data-end=""1211"">Creative blend of design and functionality</li>
<li data-section-id=""1lbgjt"" data-start=""1212"" data-end=""1247"">Lightweight and easy to install</li>
</ul>
<p><span><br></span></p>
</div>
</div>",zylowalls,Home & Garden > Decor > Clocks,wallclock,"contemporary wall decor, designer clock, home decor, home decor clock, living room decor, modern interior decor, modern wall clock, statement wall piece, typography wall clock, unique wall clock",true,Color,black,product.metafields.shopify.color-pattern,size,16 by 16,,,,,,0.0,shopify,0,continue,manual,1599,2079,true,true,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitleddesign-2026-04-28T204025.299.jpg?v=1777387315,1,,false,,,,,,,black,,analog,,wood,other,,,,round,wall-mounted,,,kg,,,active
lexora-time-typography-wall-clock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0964/6787/8183/files/Untitled_design_-_2026-04-28T204155.691.jpg?v=1777387330,2,,,,,,,,,,,,,,,,,,,,,,,,,
